SNAPSHOT_DATE,STORE_ID,SKU,ON_HAND_UNITS,IN_TRANSIT_UNITS,SAFETY_STOCK_UNITS,STATUS
2015-10-19,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-10-26,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-02,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-09,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-16,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-23,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-11-30,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-12-07,TX_2,HOUSEHOLD_1_447,86,350,151,BELOW_SAFETY_STOCK
2015-12-14,TX_2,HOUSEHOLD_1_447,0,350,151,BELOW_SAFETY_STOCK
2015-12-21,TX_2,HOUSEHOLD_1_447,227,0,151,OK
2015-12-28,TX_2,HOUSEHOLD_1_447,227,0,151,OK
